Maturity,Option Type,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
03/29/2019,CALL,GOOG190329C00850000,2019-03-22 11:28AM EDT,850,366.08,338.9,348.5,0,-,2,2,1.3022
03/29/2019,CALL,GOOG190329C00900000,2019-02-08 2:31PM EDT,900,199.71,288.5,298,0,-,19,19,0.9697
03/29/2019,CALL,GOOG190329C00920000,2019-02-08 2:31PM EDT,920,180.4,268.9,278.5,0,-,19,19,1.0298
03/29/2019,CALL,GOOG190329C01000000,2019-03-07 4:15PM EDT,1000,141.79,189.3,198.5,0,-,6,57,0.7654
03/29/2019,CALL,GOOG190329C01010000,2019-03-14 1:08PM EDT,1010,181.35,179,188.5,0,-,5,55,0.7075
03/29/2019,CALL,GOOG190329C01015000,2019-03-18 12:00AM EDT,1015,175.7,174.6,183.5,0,-,1,1,0.7283
03/29/2019,CALL,GOOG190329C01020000,2019-03-07 4:15PM EDT,1020,122.31,169.3,178.5,0,-,6,6,0.6914
03/29/2019,CALL,GOOG190329C01022500,2019-03-18 12:00AM EDT,1022.5,168.5,166.7,176,0,-,1,1,0.676
03/29/2019,CALL,GOOG190329C01030000,2019-03-18 12:00AM EDT,1030,161.3,159.3,168.5,0,-,1,1,0.6548
03/29/2019,CALL,GOOG190329C01035000,2019-03-15 9:42AM EDT,1035,155.9,154.3,163.5,0,-,1,4,0.6365
03/29/2019,CALL,GOOG190329C01037500,2019-03-18 12:00AM EDT,1037.5,155.4,151.7,161,0,-,5,5,0.6216
03/29/2019,CALL,GOOG190329C01040000,2019-03-22 3:53PM EDT,1040,166.93,149.2,158.5,0,-,1,7,0.6123
03/29/2019,CALL,GOOG190329C01047500,2019-03-18 12:00AM EDT,1047.5,143.8,142.1,151,0,-,1,1,0.6069
03/29/2019,CALL,GOOG190329C01050000,2019-03-25 12:43PM EDT,1050,141.18,139.4,148.5,-35.73,-0.202,1,27,0.5873
03/29/2019,CALL,GOOG190329C01057500,2019-03-18 12:00AM EDT,1057.5,134,131.8,141,0,-,2,2,0.5544
03/29/2019,CALL,GOOG190329C01060000,2019-02-28 3:04PM EDT,1060,71.1,129.2,138.5,0,-,3,3,0.54
03/29/2019,CALL,GOOG190329C01065000,2019-03-01 12:48PM EDT,1065,73.3,124.4,133.5,0,-,1,1,0.5322
03/29/2019,CALL,GOOG190329C01070000,2019-03-19 12:19PM EDT,1070,124.4,119.2,128.5,0,-,2,5,0.5039
03/29/2019,CALL,GOOG190329C01075000,2019-03-04 1:56PM EDT,1075,68,114.5,124,0,-,4,3,0.5219
03/29/2019,CALL,GOOG190329C01080000,2019-03-11 12:54PM EDT,1080,88.28,109.2,118.5,0,-,2,3,0.717
03/29/2019,CALL,GOOG190329C01082500,2019-03-04 1:25PM EDT,1082.5,61.1,106.7,116,0,-,3,2,0.705
03/29/2019,CALL,GOOG190329C01085000,2019-03-11 12:08AM EDT,1085,58.5,103.9,113.5,0,-,1,1,0.6929
03/29/2019,CALL,GOOG190329C01090000,2019-03-05 10:38AM EDT,1090,73.5,100.5,108.6,0,-,2,4,0.6724
03/29/2019,CALL,GOOG190329C01092500,2019-02-25 10:30AM EDT,1092.5,42.3,97.8,106.2,0,-,3,4,0.6638
03/29/2019,CALL,GOOG190329C01095000,2019-03-04 2:00PM EDT,1095,51.9,93.9,102.8,0,-,3,2,0.6187
03/29/2019,CALL,GOOG190329C01097500,2019-02-21 1:20PM EDT,1097.5,32.91,93,101.3,0,-,2,0,0.6428
03/29/2019,CALL,GOOG190329C01100000,2019-03-25 11:46AM EDT,1100,98.3,90.8,95.9,10.78,0.1232,1,25,0.5175
03/29/2019,CALL,GOOG190329C01102500,2019-03-05 12:52PM EDT,1102.5,60.7,87.4,96.3,0,-,1,3,0.6181
03/29/2019,CALL,GOOG190329C01105000,2019-03-07 12:52PM EDT,1105,50.5,85.5,93.8,0,-,1,3,0.6057
03/29/2019,CALL,GOOG190329C01107500,2019-03-15 2:06PM EDT,1107.5,83.7,83,91.4,0,-,1,31,0.5967
03/29/2019,CALL,GOOG190329C01110000,2019-03-22 9:45AM EDT,1110,117.97,80.4,89,0,-,1,26,0.5874
03/29/2019,CALL,GOOG190329C01112500,2019-03-22 12:55PM EDT,1112.5,100.29,78.1,86.4,0,-,1,4,0.5717
03/29/2019,CALL,GOOG190329C01115000,2019-03-15 11:30AM EDT,1115,78.44,75.2,84,0,-,11,92,0.5623
03/29/2019,CALL,GOOG190329C01117500,2019-03-01 11:33AM EDT,1117.5,32.36,73,81.5,0,-,6,7,0.5497
03/29/2019,CALL,GOOG190329C01120000,2019-03-25 10:17AM EDT,1120,79.95,70.5,79,-25.78,-0.2438,1,41,0.5371
03/29/2019,CALL,GOOG190329C01122500,2019-03-08 3:54PM EDT,1122.5,35.8,67.8,76.5,0,-,4,2,0.5243
03/29/2019,CALL,GOOG190329C01125000,2019-03-25 3:57PM EDT,1125,69.52,66.5,70.1,4.72,0.0728,20,10,0.3732
03/29/2019,CALL,GOOG190329C01127500,2019-03-19 10:28AM EDT,1127.5,63.6,63.1,71.8,0,-,1,10,0.5075
03/29/2019,CALL,GOOG190329C01130000,2019-03-21 1:02PM EDT,1130,92.01,60.7,69.4,0,-,1,45,0.4974
03/29/2019,CALL,GOOG190329C01132500,2019-03-20 11:56AM EDT,1132.5,82,58.8,63.8,0,-,1,2,0.3878
03/29/2019,CALL,GOOG190329C01135000,2019-03-07 4:41PM EDT,1135,28.3,55.8,64.3,0,-,1,11,0.4684
03/29/2019,CALL,GOOG190329C01137500,2019-03-22 12:42PM EDT,1137.5,71.9,54.7,59.5,0,-,2,3,0.3876
03/29/2019,CALL,GOOG190329C01140000,2019-03-25 3:14PM EDT,1140,57.43,51.9,55.7,-10.37,-0.1529,5,51,0.3317
03/29/2019,CALL,GOOG190329C01142500,2019-03-25 12:33PM EDT,1142.5,51.85,48.6,57.3,-18.03,-0.258,1,24,0.4417
03/29/2019,CALL,GOOG190329C01145000,2019-03-19 2:43PM EDT,1145,55.24,46.2,55,0,-,3,21,0.4332
03/29/2019,CALL,GOOG190329C01147500,2019-03-22 2:44PM EDT,1147.5,62,46.4,47.8,0,-,3,24,0.2832
03/29/2019,CALL,GOOG190329C01150000,2019-03-25 2:45PM EDT,1150,43,44.1,45.7,-16.91,-0.2823,12,57,0.2857
03/29/2019,CALL,GOOG190329C01152500,2019-03-11 3:45PM EDT,1152.5,33.29,41.9,43.4,0,-,3,4,0.2804
03/29/2019,CALL,GOOG190329C01155000,2019-03-22 9:36AM EDT,1155,69.2,39.5,41.1,0,-,6,26,0.2745
03/29/2019,CALL,GOOG190329C01160000,2019-03-25 11:41AM EDT,1160,42.15,35.2,36.4,-9.61,-0.1857,6,222,0.2585
03/29/2019,CALL,GOOG190329C01162500,2019-03-25 2:44PM EDT,1162.5,32.67,33.1,34.3,-17.13,-0.344,3,6,0.2565
03/29/2019,CALL,GOOG190329C01165000,2019-03-25 3:44PM EDT,1165,33.3,30.9,32.1,-11.7,-0.26,6,45,0.2509
03/29/2019,CALL,GOOG190329C01167500,2019-03-22 2:58PM EDT,1167.5,45.3,41.2,42.5,-12.2,-0.2122,3,5,0.5067
03/29/2019,CALL,GOOG190329C01170000,2019-03-25 3:18PM EDT,1170,29.7,26.8,28,-12.4,-0.2945,16,48,0.2446
