,date,ticker,field,value
0,2015-06-29,SPX Index,PX_LAST,2057.64
1,2015-06-30,SPX Index,PX_LAST,2063.11
2,2015-07-01,SPX Index,PX_LAST,2077.42
3,2015-07-02,SPX Index,PX_LAST,2076.78
4,2015-07-06,SPX Index,PX_LAST,2068.76
5,2015-07-07,SPX Index,PX_LAST,2081.34
6,2015-07-08,SPX Index,PX_LAST,2046.68
7,2015-07-09,SPX Index,PX_LAST,2051.31
8,2015-07-10,SPX Index,PX_LAST,2076.62
9,2015-07-13,SPX Index,PX_LAST,2099.6
10,2015-07-14,SPX Index,PX_LAST,2108.95
11,2015-07-15,SPX Index,PX_LAST,2107.4
12,2015-07-16,SPX Index,PX_LAST,2124.29
13,2015-07-17,SPX Index,PX_LAST,2126.64
14,2015-07-20,SPX Index,PX_LAST,2128.28
15,2015-07-21,SPX Index,PX_LAST,2119.21
16,2015-07-22,SPX Index,PX_LAST,2114.15
17,2015-07-23,SPX Index,PX_LAST,2102.15
18,2015-07-24,SPX Index,PX_LAST,2079.65
19,2015-07-27,SPX Index,PX_LAST,2067.64
20,2015-07-28,SPX Index,PX_LAST,2093.25
21,2015-07-29,SPX Index,PX_LAST,2108.57
22,2015-07-30,SPX Index,PX_LAST,2108.63
23,2015-07-31,SPX Index,PX_LAST,2103.84
24,2015-08-03,SPX Index,PX_LAST,2098.04
25,2015-08-04,SPX Index,PX_LAST,2093.32
26,2015-08-05,SPX Index,PX_LAST,2099.84
27,2015-08-06,SPX Index,PX_LAST,2083.56
28,2015-08-07,SPX Index,PX_LAST,2077.57
29,2015-08-10,SPX Index,PX_LAST,2104.18
30,2015-08-11,SPX Index,PX_LAST,2084.07
31,2015-08-12,SPX Index,PX_LAST,2086.05
32,2015-08-13,SPX Index,PX_LAST,2083.39
33,2015-08-14,SPX Index,PX_LAST,2091.54
34,2015-08-17,SPX Index,PX_LAST,2102.44
35,2015-08-18,SPX Index,PX_LAST,2096.92
36,2015-08-19,SPX Index,PX_LAST,2079.61
37,2015-08-20,SPX Index,PX_LAST,2035.73
38,2015-08-21,SPX Index,PX_LAST,1970.89
39,2015-08-24,SPX Index,PX_LAST,1893.21
40,2015-08-25,SPX Index,PX_LAST,1867.61
41,2015-08-26,SPX Index,PX_LAST,1940.51
42,2015-08-27,SPX Index,PX_LAST,1987.66
43,2015-08-28,SPX Index,PX_LAST,1988.87
44,2015-08-31,SPX Index,PX_LAST,1972.18
45,2015-09-01,SPX Index,PX_LAST,1913.85
46,2015-09-02,SPX Index,PX_LAST,1948.86
47,2015-09-03,SPX Index,PX_LAST,1951.13
48,2015-09-04,SPX Index,PX_LAST,1921.22
49,2015-09-08,SPX Index,PX_LAST,1969.41
50,2015-09-09,SPX Index,PX_LAST,1942.04
51,2015-09-10,SPX Index,PX_LAST,1952.29
52,2015-09-11,SPX Index,PX_LAST,1961.05
53,2015-09-14,SPX Index,PX_LAST,1953.03
54,2015-09-15,SPX Index,PX_LAST,1978.09
55,2015-09-16,SPX Index,PX_LAST,1995.31
56,2015-09-17,SPX Index,PX_LAST,1990.2
57,2015-09-18,SPX Index,PX_LAST,1958.03
58,2015-09-21,SPX Index,PX_LAST,1966.97
59,2015-09-22,SPX Index,PX_LAST,1942.74
60,2015-09-23,SPX Index,PX_LAST,1938.76
61,2015-09-24,SPX Index,PX_LAST,1932.24
62,2015-09-25,SPX Index,PX_LAST,1931.34
63,2015-09-28,SPX Index,PX_LAST,1881.77
64,2015-09-29,SPX Index,PX_LAST,1884.09
65,2015-09-30,SPX Index,PX_LAST,1920.03
66,2015-10-01,SPX Index,PX_LAST,1923.82
67,2015-10-02,SPX Index,PX_LAST,1951.36
68,2015-10-05,SPX Index,PX_LAST,1987.05
69,2015-10-06,SPX Index,PX_LAST,1979.92
70,2015-10-07,SPX Index,PX_LAST,1995.83
71,2015-10-08,SPX Index,PX_LAST,2013.43
72,2015-10-09,SPX Index,PX_LAST,2014.89
73,2015-10-12,SPX Index,PX_LAST,2017.46
74,2015-10-13,SPX Index,PX_LAST,2003.69
75,2015-10-14,SPX Index,PX_LAST,1994.24
76,2015-10-15,SPX Index,PX_LAST,2023.86
77,2015-10-16,SPX Index,PX_LAST,2033.11
78,2015-10-19,SPX Index,PX_LAST,2033.66
79,2015-10-20,SPX Index,PX_LAST,2030.77
80,2015-10-21,SPX Index,PX_LAST,2018.94
81,2015-10-22,SPX Index,PX_LAST,2052.51
82,2015-10-23,SPX Index,PX_LAST,2075.15
83,2015-10-26,SPX Index,PX_LAST,2071.18
84,2015-10-27,SPX Index,PX_LAST,2065.89
85,2015-10-28,SPX Index,PX_LAST,2090.35
86,2015-10-29,SPX Index,PX_LAST,2089.41
87,2015-10-30,SPX Index,PX_LAST,2079.36
