,K,F,Moneyness,opt_type,T,price,implied_vol
0,2640.0,2749.32989979,96.0233982906,put,0.02,3.45,21.4792370616
1,2025.0,2761.89547187,73.3192121363,put,0.78,18.6,24.9535171222
2,2060.0,2749.32989979,74.9273486661,put,0.02,0.05,64.9510185072
3,1625.0,2778.51665839,58.4844433122,put,1.78,20.1,26.3243630803
4,2120.0,2749.32989979,77.1096986273,put,0.02,0.05,58.9172509384
5,3020.0,2752.13564698,109.732963319,call,0.19,1.35,10.9539739415
6,2995.0,2752.13564698,108.824577861,call,0.19,1.675,10.5167585449
7,1825.0,2757.92120455,66.173029055,put,0.54,5.05,29.2903644369
8,2025.0,2795.23787182,72.4446395212,put,2.78,89.8,22.1065557582
9,3100.0,2757.92120455,112.403501409,call,0.54,6.9,10.6954273304
10,500.0,2761.89547187,18.1035091694,put,0.78,0.1,59.9376197728
11,3400.0,2757.92120455,123.281259609,call,0.54,1.4,12.9238267478
12,2825.0,2749.32989979,102.752310671,call,0.02,0.7,10.9729744154
13,1675.0,2770.19359925,60.4650880882,put,1.28,14.1,27.2588228612
14,2255.0,2749.32989979,82.0199860398,put,0.02,0.1,48.6931390356
15,2825.0,2778.51665839,101.672955297,call,1.78,209.95,15.7687808844
16,3300.0,2795.23787182,118.057931072,call,2.78,98.7,14.0865679836
17,4100.0,2778.51665839,147.56074928,call,1.78,2.425,12.9517843996
18,1925.0,2749.32989979,70.0170612535,put,0.02,0.05,79.0898032212
19,2625.0,2749.32989979,95.4778108003,put,0.02,2.725,22.4001823086
20,2325.0,2761.89547187,84.1813176379,put,0.78,46.25,21.3089987383
21,3175.0,2749.32989979,115.482685444,call,0.02,0.025,31.8475522023
22,2700.0,2749.32989979,98.2057482517,put,0.02,9.1,17.4761068281
23,3400.0,2761.89547187,123.103862352,call,0.78,3.15,12.0696936903
24,2955.0,2749.32989979,107.480735587,call,0.02,0.05,18.0262726439
25,3175.0,2761.89547187,114.957283226,call,0.78,10.1,11.1036734887
26,2235.0,2749.32989979,81.2925360528,put,0.02,0.1,50.6976698185
27,3060.0,2749.32989979,111.299848019,call,0.02,0.025,24.2845857132
28,2495.0,2749.32989979,90.7493858844,put,0.02,0.6,31.4633612174
29,3900.0,2778.51665839,140.362663949,call,1.78,3.9,12.3562105191
30,2020.0,2749.32989979,73.472448692,put,0.02,0.05,69.0553025483
31,1425.0,2770.19359925,51.440448075,put,1.28,6.45,30.1351749322
32,3350.0,2749.32989979,121.847872831,call,0.02,0.025,42.5883595259
33,3400.0,2795.23787182,121.635444134,call,2.78,74.8,13.6961519189
34,1650.0,2757.92120455,59.8276701046,put,0.54,2.65,32.1924890164
35,2625.0,2770.19359925,94.7587201382,put,1.28,144.75,17.3241528317
36,3020.0,2749.32989979,109.844948044,call,0.02,0.05,22.8737382784
37,2575.0,2757.92120455,93.3674245571,put,0.54,68.1,18.1029784582
38,2225.0,2778.51665839,80.0786993045,put,1.78,83.8,21.0417735501
39,2550.0,2749.32989979,92.7498733488,put,0.02,1.025,27.4436318372
40,1950.0,2761.89547187,70.6036857608,put,0.78,14.5,25.8354998272
41,1500.0,2757.92120455,54.3887910041,put,0.54,1.525,34.9256888543
42,2700.0,2757.92120455,97.8998238075,put,0.54,100.45,15.9655856767
43,2850.0,2795.23787182,101.959122289,call,2.78,273.05,16.2544486515
44,3700.0,2761.89547187,133.965967854,call,0.78,1.175,13.9824649172
45,3000.0,2778.51665839,107.971279961,call,1.78,126.8,14.4334681207
46,2705.0,2749.32989979,98.3876107485,put,0.02,9.9,17.1218635716
47,2090.0,2749.32989979,76.0185236467,put,0.02,0.05,61.9163409405
48,750.0,2778.51665839,26.9928199903,put,1.78,0.9,37.2290914534
49,2075.0,2757.92120455,75.2378275557,put,0.54,12.75,25.6055320742
50,1900.0,2770.19359925,68.5872641,put,1.28,26.7,24.8986345245
51,2780.0,2749.32989979,101.1155482,call,0.02,7.75,12.3990500962
52,2775.0,2770.19359925,100.173504146,call,1.28,193.35,15.7818484704
53,2575.0,2761.89547187,93.2330722226,put,0.78,92.0,18.0829158724
54,2900.0,2757.92120455,105.151662608,call,0.54,48.0,12.5640061144
55,3175.0,2778.51665839,114.269604625,call,1.78,66.95,13.2073634644
56,2225.0,2761.89547187,80.560615804,put,0.78,34.6,22.5513881926
57,1700.0,2761.89547187,61.5519311761,put,0.78,5.95,28.8381543969
58,2550.0,2757.92120455,92.460944707,put,0.54,62.95,18.5111101933
59,3100.0,2749.32989979,112.754747993,call,0.02,0.025,26.9668819163
60,2325.0,2749.32989979,84.5660609945,put,0.02,0.175,44.1313868096
61,2450.0,2757.92120455,88.8350253068,put,0.54,45.75,20.0898342375
62,2785.0,2749.32989979,101.297410697,call,0.02,6.2,12.1216767575
63,2165.0,2749.32989979,78.7464610981,put,0.02,0.05,54.4819847031
64,800.0,2778.51665839,28.7923413229,put,1.78,1.075,36.1393927857
65,2315.0,2749.32989979,84.202336001,put,0.02,0.15,44.4613338996
66,2750.0,2757.92120455,99.7127835076,put,0.54,117.05,15.0381320947
67,1000.0,2749.32989979,36.3724993525,put,0.02,0.025,200.0
68,2755.0,2749.32989979,100.206235716,call,0.02,19.3,14.1824298973
69,2745.0,2749.32989979,99.8425107226,put,0.02,20.3,14.4531238404
70,2725.0,2761.89547187,98.6641249735,put,0.78,134.6,15.8386104698
71,2375.0,2770.19359925,85.734080125,put,1.28,85.65,20.096276812
72,2965.0,2752.13564698,107.734515312,call,0.19,2.425,10.1703964743
73,1300.0,2749.32989979,47.2842491582,put,0.02,0.025,151.934829913
74,3600.0,2749.32989979,130.940997669,call,0.02,0.025,56.6491978801
75,2450.0,2761.89547187,88.7071949303,put,0.78,65.85,19.7542109267
76,1975.0,2757.92120455,71.6119081555,put,0.54,8.9,27.0810487747
77,2200.0,2757.92120455,79.7702268061,put,0.54,19.8,23.7939737302
78,2050.0,2778.51665839,73.7803746401,put,1.78,57.6,22.5535743926
79,2335.0,2749.32989979,84.929785988,put,0.02,0.175,43.1066764851
80,1925.0,2757.92120455,69.7989484553,put,0.54,7.4,27.8190934625
81,2100.0,2757.92120455,76.1443074058,put,0.54,13.95,25.2473380338
82,3250.0,2749.32989979,118.210622896,call,0.02,0.025,36.5539523273
83,3500.0,2749.32989979,127.303747734,call,0.02,0.025,51.1859777127
84,2270.0,2749.32989979,82.5655735301,put,0.02,0.1,47.1978233249
85,2430.0,2749.32989979,88.3851734265,put,0.02,0.35,36.2331830476
86,2300.0,2778.51665839,82.7779813035,put,1.78,97.45,20.378915877
87,2915.0,2752.13564698,105.917744396,call,0.19,5.9,10.2419517496
88,2330.0,2749.32989979,84.7479234913,put,0.02,0.15,42.9414809723
89,2875.0,2761.89547187,104.095177724,call,0.78,86.65,13.725895214
90,1525.0,2749.32989979,55.4680615125,put,0.02,0.025,120.846205946
91,2325.0,2757.92120455,84.3026260564,put,0.54,30.35,21.9773941446
92,2620.0,2749.32989979,95.2959483035,put,0.02,2.55,22.7622537723
93,3150.0,2749.32989979,114.57337296,call,0.02,0.025,30.2410592913
94,2040.0,2749.32989979,74.1998986791,put,0.02,0.05,66.994674031
95,2250.0,2770.19359925,81.2217601185,put,1.28,64.4,21.3723414074
96,1550.0,2757.92120455,56.2017507043,put,0.54,1.825,33.9661596159
97,2585.0,2749.32989979,94.0229108262,put,0.02,1.575,25.0759079781
98,1725.0,2778.51665839,62.0834859776,put,1.78,26.25,25.3991276824
99,3350.0,2757.92120455,121.468299909,call,0.54,1.725,12.5109437411
100,2920.0,2749.32989979,106.207698109,call,0.02,0.05,15.3205245513
101,2415.0,2749.32989979,87.8395859362,put,0.02,0.325,37.5089074203
102,2350.0,2770.19359925,84.8316161237,put,1.28,81.0,20.3547358231
103,1350.0,2749.32989979,49.1028741258,put,0.02,0.025,144.594907661
104,3900.0,2795.23787182,139.523009448,call,2.78,16.4,12.609185072
105,1400.0,2795.23787182,50.0851828788,put,2.78,22.0,26.6850231828
106,2945.0,2749.32989979,107.117010593,call,0.02,0.05,17.2606702685
107,3030.0,2749.32989979,110.208673038,call,0.02,0.025,22.2330586099
108,1875.0,2749.32989979,68.1984362859,put,0.02,0.025,80.2955254478
109,1100.0,2770.19359925,39.7084160579,put,1.28,1.95,34.3838737024
110,1400.0,2757.92120455,50.7628716039,put,0.54,1.075,36.9796891884
111,2125.0,2770.19359925,76.7094401119,put,1.28,47.75,22.635039635
112,2220.0,2749.32989979,80.7469485625,put,0.02,0.1,52.2094320388
113,2925.0,2778.51665839,105.271997962,call,1.78,159.75,14.998906043
114,3300.0,2778.51665839,118.768407957,call,1.78,39.35,12.5256544567
115,3025.0,2778.51665839,108.871040627,call,1.78,116.7,14.2440462363
116,1830.0,2749.32989979,66.561673815,put,0.02,0.025,85.0933661381
117,2650.0,2749.32989979,96.3871232841,put,0.02,3.95,20.7167436069
118,1700.0,2757.92120455,61.6406298047,put,0.54,3.15,31.2821259986
119,2600.0,2778.51665839,93.5751092996,put,1.78,171.15,17.6709010129
120,2080.0,2749.32989979,75.6547986532,put,0.02,0.05,62.9238696698
121,2030.0,2749.32989979,73.8361736855,put,0.02,0.05,68.0228372976
122,1700.0,2770.19359925,61.3675520895,put,1.28,15.2,26.9952793065
123,4100.0,2761.89547187,148.448775189,call,0.78,0.35,15.9374864686
124,3700.0,2778.51665839,133.164578619,call,1.78,7.25,11.9449518997
125,1450.0,2778.51665839,52.1861186478,put,1.78,12.15,28.0174810347
126,3025.0,2761.89547187,109.526230475,call,0.78,31.8,11.829361888
127,1890.0,2749.32989979,68.7440237762,put,0.02,0.025,78.7194173403
128,2750.0,2778.51665839,98.9736732976,put,1.78,221.4,16.1917588959
129,2775.0,2761.89547187,100.47447589,call,0.78,141.45,15.2432404468
